js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Strakonice. Nové Strakonice,"Strakonice, Nové Strakonice","Strakonice, Nové Strakonice",C1STRA01,13.8827,49.2546,404.0,Strakonice,Strakonice. Nové Strakonice,AKS2
Strání,Strání,Strání,B1STRN01,17.7086,48.9033,383.0,Strání,Strání,AKS1
Strašice,Strašice,Strašice,L2STRA01,13.753217,49.742781,526.0,Strašice,Strašice,ASS
Strašín,Strašín,Strašín,C1STRS01,13.6425,49.1797,637.0,Strašín,Strašín,ASS
Straškov-Vodochody,Straškov-Vodochody,Straškov-Vodochody,U1STRV01,14.255,50.36389,214.0,Straškov-Vodochody,Straškov-Vodochody,ASS
Stráž nad Ohří,Stráž nad Ohří,Stráž nad Ohří,L3STRA01,13.051677,50.338823,330.0,Stráž nad Ohří,Stráž nad Ohří,ASS
Stráž pod Ralskem,Stráž pod Ralskem,Stráž pod Ralskem,U2STRR01,14.80739,50.70361,310.0,Stráž pod Ralskem,Stráž pod Ralskem,AKS1
Strážnice,Strážnice,Strážnice,B1STRZ01,17.3381,48.8992,176.0,Strážnice,Strážnice,AKS1
Strážný,Strážný,Strážný,C1STRZ01,13.72028,48.908822,811.0,Strážný,Strážný,ASS
Strmilov,Strmilov,Strmilov,C2STRM01,15.2064,49.1631,582.0,Strmilov,Strmilov,ASS
Strojetice,Strojetice,Strojetice,U1STRJ01,13.47694,50.17378,372.0,Strojetice,Strojetice,AKS2
Střelice,Střelice,Střelice,B2STRE01,15.9828,48.9934,325.0,Střelice,Střelice,ASS
Stříbro,Stříbro,Stříbro,L2STRI01,12.981105,49.752524,438.0,Stříbro,Stříbro,AKS2
Studenec,Studenec,Studenec,P2STUD01,15.550286,50.55272,532.0,Studenec,Studenec,ASS
Světlá Hora,Světlá Hora,Světlá Hora,O1SVET01,17.4011,50.0331,593.0,Světlá Hora,Světlá Hora,AKS2
Svratouch,Svratouch,Svratouch,H3SVRA01,16.034167,49.735,734.0,Svratouch,Svratouch,AMS1
